Date,Opponent,Score,to,stl,blk,ast
Oct 15 #,at St. Thomas University,,-,-,-,-
Oct 19 #,at Barry University,,-,-,-,-
Oct 23 #,Ft. Lauderdale University,,-,-,-,-
1-Nov,South Georgia Technical College,"L, 72-58",21,9,3,9
2-Nov,at Tallahassee State College,"W, 82-69",31,12,1,10
15-Nov,vs. Northwest Florida State College,"L, 80-58",24,15,6,13
16-Nov,vs. Western Wyoming Community College,"W, 101-87",19,5,5,19
22-Nov,vs. East Georgia State College,"W, 87-80",13,13,4,13
23-Nov,at DME Academy,"W, 77-54",11,3,1,13
2-Dec,Hillsborough Community College,"W, 85-75",23,9,5,19
7-Dec,at Santa Fe College,"W, 83-77",14,0,0,14
9-Dec,St. Petersburg College,"W, 97-60",9,17,4,25
14-Dec,Eastern Florida State College,"L, 56-49",17,10,6,11
16-Dec,at Florida Southwestern State College,"L, 86-70",15,7,4,11
18-Dec,at Daytona State College,"W, 109-81",16,13,2,18
30-Dec,at Pensacola State College,"L, 76-74",22,12,8,12
31-Dec,vs. Mississippi Gulf Coast Community College,"W, 89-76",5,9,0,13
3-Jan,vs. Bryant & Stratton College (VA),"L, 77-75",14,12,2,13
4-Jan,vs. Montgomery College (MD),"W, 132-68",15,26,1,34
11-Jan,at Daytona State College,"W, 89-78",15,13,4,19
15-Jan,St. Petersburg College,"W, 99-46",14,25,1,27
18-Jan,Santa Fe College,"W, 72-55",17,13,3,17
22-Jan,at Eastern Florida State College,"L, 82-68",22,7,0,10
25-Jan,Florida Southwestern State College,"W, 77-51",12,15,1,19
1-Feb,at Hillsborough Community College,"L, 105-100",26,11,5,20
5-Feb,at Palm Beach State College,"W, 87-60",18,8,7,22
12-Feb,Daytona State College,"W, 78-69",13,12,1,13
15-Feb,at St. Petersburg College,"W, 78-66",16,7,3,14
19-Feb,Palm Beach State College,"W, 90-69",23,18,5,23
22-Feb,Eastern Florida State College,"W, 89-88",14,11,3,17
26-Feb,at Florida Southwestern State College,"L, 74-60",12,8,2,7
1-Mar,at Santa Fe College,"W, 80-56",18,20,10,15
3-Mar,Hillsborough Community College,"W, 87-60",15,7,2,22
12-Mar,vs. Chipola College,"L, 74-70",12,12,6,15
