Date,Opponent,Score,pf,def eff,net eff
Oct 15 #,at St. Thomas University,,-,-,-
Oct 19 #,at Barry University,,-,-,-
Oct 23 #,Ft. Lauderdale University,,-,-,-
1-Nov,South Georgia Technical College,"L, 72-58",24,0.96,0.04
2-Nov,at Tallahassee State College,"W, 82-69",0,0.719,0.375
15-Nov,vs. Northwest Florida State College,"L, 80-58",10,1.032,-0.284
16-Nov,vs. Western Wyoming Community College,"W, 101-87",16,1.067,0.128
22-Nov,vs. East Georgia State College,"W, 87-80",34,0.994,0.042
23-Nov,at DME Academy,"W, 77-54",16,0.75,0.327
2-Dec,Hillsborough Community College,"W, 85-75",19,0.815,0.119
7-Dec,at Santa Fe College,"W, 83-77",15,0.875,0.364
9-Dec,St. Petersburg College,"W, 97-60",9,0.779,0.472
14-Dec,Eastern Florida State College,"L, 56-49",20,0.723,-0.078
16-Dec,at Florida Southwestern State College,"L, 86-70",13,1.11,-0.195
18-Dec,at Daytona State College,"W, 109-81",22,0.862,0.286
30-Dec,at Pensacola State College,"L, 76-74",26,0.745,0.03
31-Dec,vs. Mississippi Gulf Coast Community College,"W, 89-76",15,0.921,0.459
3-Jan,vs. Bryant & Stratton College (VA),"L, 77-75",16,1.141,-0.209
4-Jan,vs. Montgomery College (MD),"W, 132-68",18,0.708,0.52
11-Jan,at Daytona State College,"W, 89-78",10,0.975,0.131
15-Jan,St. Petersburg College,"W, 99-46",13,0.535,0.623
18-Jan,Santa Fe College,"W, 72-55",19,0.671,0.171
22-Jan,at Eastern Florida State College,"L, 82-68",13,1.006,-0.167
25-Jan,Florida Southwestern State College,"W, 77-51",12,0.646,0.299
1-Feb,at Hillsborough Community College,"L, 105-100",16,0.968,-0.067
5-Feb,at Palm Beach State College,"W, 87-60",15,0.682,0.206
12-Feb,Daytona State College,"W, 78-69",18,0.831,0.138
15-Feb,at St. Petersburg College,"W, 78-66",17,0.892,-0.062
19-Feb,Palm Beach State College,"W, 90-69",11,0.802,0.232
22-Feb,Eastern Florida State College,"W, 89-88",29,1.023,-0.051
26-Feb,at Florida Southwestern State College,"L, 74-60",13,1.072,-0.203
1-Mar,at Santa Fe College,"W, 80-56",17,0.675,0.204
3-Mar,Hillsborough Community College,"W, 87-60",13,0.719,0.264
12-Mar,vs. Chipola College,"L, 74-70",11,0.902,-0.027
