#,Player,GP,GS,MIN,AVG,FG-FGA,PCT,3FG-3FGA,PCT,FT-FTA,PCT,OFF,DEF,TOT,AVG,PF,DQ,A,A/G,TO,TO/G,A/TO,BLK,BLK/G,STL,STL/G,PTS,AVG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Shameir Quimby......,31,30,795,25.6,241-496,48.6,14-Feb,14.3,113-163,69.3,113,139,252,8.1,59,1,137,4.4,72,2.3,1.9,8,0.3,81,2.6,597,19.3
15,Conference Only.....,18,18,553,30.7,126-297,42.4,9-Jan,11.1,72-106,67.9,66,94,160,8.9,37,0,75,4.2,42,2.3,1.8,6,0.3,43,2.4,325,18.1
23,Clearia Peterson....,31,31,723,23.3,231-477,48.4,Sep-41,22,89-147,60.5,145,229,374,12.1,88,3,48,1.5,84,2.7,0.6,24,0.8,47,1.5,560,18.1
23,Conference Only.....,18,18,517,28.7,147-302,48.7,Jul-34,20.6,52-80,65,87,134,221,12.3,47,1,24,1.3,47,2.6,0.5,12,0.7,33,1.8,353,19.6
21,Kiara Harris........,31,31,774,25,155-389,39.8,98-258,38,57-74,77,25,59,84,2.7,61,0,121,3.9,97,3.1,1.2,6,0.2,91,2.9,465,15
21,Conference Only.....,18,18,548,30.4,92-239,38.5,64-168,38.1,38-47,80.9,19,43,62,3.4,35,0,73,4.1,58,3.2,1.3,4,0.2,48,2.7,286,15.9
2,Jazmyne Bynum.......,31,25,600,19.4,166-461,36,71-234,30.3,50-75,66.7,27,64,91,2.9,77,2,86,2.8,85,2.7,1,1,0,60,1.9,453,14.6
2,Conference Only.....,18,15,426,23.7,95-269,35.3,37-132,28,29-42,69,16,43,59,3.3,41,1,57,3.2,47,2.6,1.2,1,0.1,31,1.7,256,14.2
8,Michaela Lane.......,28,19,485,17.3,74-173,42.8,0-3,0,27-46,58.7,99,113,212,7.6,57,2,55,2,54,1.9,1,45,1.6,28,1,175,6.3
8,Conference Only.....,17,15,361,21.2,52-129,40.3,0-2,0,13-26,50,73,68,141,8.3,32,1,35,2.1,36,2.1,1,23,1.4,23,1.4,117,6.9
14,Jamesha Card........,25,6,210,8.4,56-164,34.1,16-76,21.1,22-27,81.5,24,67,91,3.6,50,0,24,1,55,2.2,0.4,6,0.2,17,0.7,150,6
14,Conference Only.....,14,2,149,10.6,25-71,35.2,Jun-35,17.1,12-Oct,83.3,5,35,40,2.9,23,0,12,0.9,24,1.7,0.5,3,0.2,12,0.9,66,4.7
12,Abigail Alvarez.....,22,0,104,4.7,16-42,38.1,8-Feb,25,17-Dec,70.6,12,23,35,1.6,17,0,7,0.3,7,0.3,1,0,0,5,0.2,46,2.1
12,Conference Only.....,16,0,86,5.4,28-Oct,35.7,6-Jan,16.7,12-Sep,75,9,16,25,1.6,12,0,6,0.4,6,0.4,1,0,0,5,0.3,30,1.9
1,KaMariya Simmons....,31,9,241,7.8,28-64,43.8,0-0,-,18-Aug,44.4,41,87,128,4.1,46,1,11,0.4,36,1.2,0.3,11,0.4,9,0.3,64,2.1
1,Conference Only.....,18,3,128,7.1,28-Oct,35.7,0-0,-,12-May,41.7,17,32,49,2.7,18,0,6,0.3,18,1,0.3,5,0.3,1,0.1,25,1.4
0,Aliana Bass.........,23,0,50,2.2,15-Mar,20,0-3,0,3-Jan,33.3,1,11,12,0.5,16,0,3,0.1,9,0.4,0.3,0,0,2,0.1,7,0.3
0,Conference Only.....,13,0,26,2,0-8,0,0-2,0,0-0,-,1,3,4,0.3,9,0,1,0.1,3,0.2,0.3,0,0,1,0.1,0,0
